"u1","u2","u3","u4","u5","u6","u7","u8","u9"
-4039.493,-9.24800000000005,-10651.6988139224,-32163.64077,-376183.629,-1.838,2.825,-1035.024,-0.625
2704.507,0.751999999999953,-10651.6988139224,123386.64923,-369770.629,1.162,4.825,1164.976,0.375
1697.507,-9.24800000000005,-10651.6988139224,-65352.12777,-399916.629,2.162,-0.175000000000001,-1675.024,0.375
4170.507,-9.24800000000005,-10651.6988139224,-19257.01077,-402441.629,1.162,-2.175,-185.024,0.375
1655.507,4.75199999999995,-23639.3258679224,-11524.83077,-433178.629,-1.838,-0.175000000000001,844.976,-0.625
-513.493,16.752,19755.3848460776,54405.24923,181710.371,-0.838,2.825,644.976,0.375
1316.507,4.75199999999995,19755.3848460776,54405.24923,39204.371,2.162,1.825,-1695.024,0.375
-496.493,10.752,-29900.7910469224,-11758.32077,318430.371,2.162,-2.175,-395.024,0.375
-2321.493,2.75199999999995,-29900.7910469224,-31511.17077,-337271.629,2.162,-2.175,-395.024,0.375
608.507,-11.248,-29900.7910469224,-46738.09077,-6542.62900000002,2.162,-2.175,-164.024,0.375
-1952.493,-7.24800000000005,-29900.7910469224,-64556.79077,-382927.629,3.162,-2.175,-1220.024,0.375
-2896.493,4.75199999999995,-6665.3168439224,58796.04923,237562.371,-1.838,4.825,644.976,-0.625
2822.507,14.752,-21415.6516119224,23260.81923,-383277.629,-1.838,-2.175,-995.024,-0.625
5757.507,-3.24800000000005,-21415.6516119224,-30433.66077,-448360.629,1.162,-2.175,280.976,0.375
-3111.493,16.752,-21415.6516119224,266584.24923,222055.371,-0.838,0.824999999999999,644.976,0.375
3973.507,2.75199999999995,-21415.6516119224,-55574.10077,-259656.629,-1.838,-4.175,-395.024,-0.625
-2929.493,-6.24800000000005,-21415.6516119224,-34532.81077,-370143.629,0.162,1.825,-135.024,0.375
-294.493,-3.24800000000005,-21415.6516119224,-23077.41077,-58197.629,2.162,-2.175,4.97600000000011,0.375
-3361.493,-7.24800000000005,-21415.6516119224,-25500.79077,165195.371,-1.838,1.825,-35.0239999999999,-0.625
-2121.493,-6.24800000000005,-21415.6516119224,-22601.39077,43113.371,-0.838,-0.175000000000001,452.976,-0.625
-3517.493,16.752,5936.4886660776,266584.24923,421118.371,3.162,4.825,124.976,0.375
-28.4929999999999,4.75199999999995,5936.4886660776,211562.14923,127260.371,1.162,-0.175000000000001,2724.976,0.375
-1786.493,10.752,5936.4886660776,-12771.43077,354451.371,1.162,5.825,-343.024,0.375
-3786.493,-10.248,5936.4886660776,-58256.29077,-412271.629,1.162,-4.175,-731.024,-0.625
1468.507,2.75199999999995,5936.4886660776,79938.14923,49059.371,-0.838,-0.175000000000001,228.976,0.375
-2928.493,-8.24800000000005,5936.4886660776,-30583.64077,200090.371,-0.838,1.825,124.976,-0.625
3648.507,14.752,-4318.8024139224,82149.94923,-103124.629,2.162,3.825,124.976,0.375
-3068.493,4.75199999999995,-4318.8024139224,52733.94923,100680.371,-0.838,1.825,644.976,0.375
-3183.493,2.75199999999995,-4318.8024139224,-6181.77076999999,432187.371,1.162,-2.175,384.976,0.375
941.507,-4.24800000000005,-4318.8024139224,-30797.46077,-428314.629,2.162,-0.175000000000001,745.976,0.375
-2929.493,6.75199999999995,-4318.8024139224,232422.74923,-316039.629,1.162,1.825,-135.024,0.375
-3249.493,-4.24800000000005,-4318.8024139224,15995.10923,360088.371,1.162,-2.175,344.976,0.375
-1368.493,0.751999999999953,-4318.8024139224,12387.39923,-397563.629,-0.838,1.825,-395.024,0.375
-4032.493,-1.24800000000005,-4318.8024139224,503.77923,310776.371,-0.838,-2.175,644.976,0.375
-3342.493,16.752,429715.971636078,266584.24923,353557.371,0.162,-1.175,540.976,0.375
1712.507,4.75199999999995,-9090.1752739224,76982.54923,-370555.629,2.162,1.825,-31.0239999999999,0.375
233.507,-4.24800000000005,-9090.1752739224,-65514.52577,34867.371,-0.838,-2.175,-1434.024,0.375
1988.507,16.752,-9090.1752739224,-37720.76077,-213872.629,1.162,2.825,-555.024,0.375
1459.507,-10.248,-9090.1752739224,39416.04923,177201.371,0.162,-2.175,124.976,0.375
-1176.493,4.75199999999995,-9090.1752739224,211562.14923,475903.371,-1.838,1.825,124.976,-0.625
175.507,10.752,-9090.1752739224,-50256.51077,41394.371,0.162,-1.175,124.976,0.375
-3165.493,10.752,-9090.1752739224,47002.04923,212824.371,1.162,4.825,124.976,-0.625
1736.507,-3.24800000000005,-9090.1752739224,-33376.16077,-415210.629,1.162,-2.175,259.976,0.375
-2929.493,12.752,-9090.1752739224,-33376.16077,-306061.629,-0.838,1.825,124.976,0.375
2281.507,-4.24800000000005,-9090.1752739224,-39854.09077,-412550.629,0.162,-1.175,274.976,0.375
-3853.493,12.752,-9090.1752739224,237752.84923,462305.371,0.162,1.825,-61.0239999999999,0.375
