"Pit","Tit","Yit"
329030.747746936,-193810.977842198,135219.769904738
725908.228865316,206616.460709894,932524.68957521
671052.006741333,148500.884827858,819552.891569191
636175.154919798,111387.165108501,747562.320028299
533886.489755286,7482.65361373282,541369.143369019
191164.622155415,-335074.734383202,-143910.112227787
582220.724792746,61945.6325041563,644166.357296903
637327.146785432,116250.65698589,753577.803771323
193812.272166806,-328975.902916236,-135163.63074943
492284.34928385,-24651.6994175577,467632.649866293
585096.200051239,68833.0844198737,653929.284471113
499279.624505315,-17906.2977886963,481373.326716618
485701.652094207,-30920.0928400245,454781.559254183
564945.646999578,49097.0126090274,614042.659608606
643691.322345752,127254.06718541,770945.389531162
660622.204646704,142265.215835409,802887.420482113
676340.844613371,155833.15860169,832174.003215061
229679.088739707,-293210.782884984,-63531.6941452774
908511.834718851,390858.070491727,1299369.90521058
699826.613588004,175792.414790225,875619.02837823
682483.41669111,155745.744945224,838229.161636334
241512.045120426,-287581.702914577,-46069.6577941511
826370.088429713,302442.591538315,1128812.67996803
671028.807515197,142241.037225231,813269.844740428
827971.574083662,297055.598705914,1125027.17278958
94239.2030634824,-441421.006929191,-347181.803865709
615704.860978357,87860.1985743882,703565.059552745
831769.314519726,302719.141730386,1134488.45625011
588182.815549205,54280.1978807493,642463.013429954
542268.38861662,7757.2209932749,550025.609609895
604457.415304896,70115.5501521502,674572.965457046
522905.835118749,-12315.5901210664,510590.244997683
567589.981992774,32890.6374412022,600480.619433976
664995.391360584,130048.213064657,795043.604425241
506762.432463945,-30074.5917517413,476687.840712204
775485.98490354,239460.387269497,1014946.37217304
621946.127413171,82183.0788494765,704129.206262648
415312.37203963,-125518.465261697,289793.906777933
541585.004041114,3213.12348863103,544798.127529745
654026.920818572,115928.558174219,769955.478992791
690583.839980468,150841.941659727,841425.781640195
106754.875579545,-435228.404758282,-328473.529178736
1074909.65626352,540649.108222161,1615558.76448568
603305.833558626,60169.4083163006,663475.241874927
475072.67305368,-68741.3315946025,406331.341459077
655774.860262991,113471.124681238,769245.984944229
678481.548588445,134595.373526228,813076.922114673
144050.318809728,-401782.371930723,-257732.053120994
639892.920207928,101224.760247858,741117.680455786
720994.237483111,180928.507801516,901922.745284627
581096.416507262,38289.8355883782,619386.25209564
659779.170757778,116659.194501867,776438.365259645
517334.580261197,-27429.8797019333,489904.700559263
97307.4563419899,-446647.031912509,-349339.575570519
715362.223246843,179324.8488835,894687.072130344
641462.555566281,102696.775996116,744159.331562398
652124.735585481,111934.858831407,764059.594416888
136777.75357477,-404972.987747496,-268195.234172726
538151.112933035,3600.49322698423,541751.60616002
648321.144227999,114024.462733954,762345.606961953
103295.131355279,-432635.679723078,-329340.548367799
417129.246828795,-111146.578445059,305982.668383736
713685.991263397,187583.827203525,901269.818466922
473700.239863539,-55309.8812833803,418390.358580159
519309.625469584,-8469.25304246179,510840.372427122
575895.819051297,48558.6059050384,624454.424956335
492560.150885335,-35321.4287108697,457238.722174465
105295.77755579,-421703.670421213,-316407.892865422
465202.147809963,-54363.1628137848,410838.984996179
726627.981076981,208249.535731477,934877.516808458
735065.587120414,213401.185328841,948466.772449255
692624.13098532,167608.504771117,860232.635756437
281188.497782346,-246395.008803513,34793.4889788335
852977.772069716,329871.456324472,1182849.22839419
771086.99038152,242643.841809979,1013730.8321915
167919.287622703,-364348.035447412,-196428.747824709
169361.56686422,-356427.747057753,-187066.180193534
166702.033407606,-352766.699233334,-186064.665825728
653223.001973704,140011.890682065,793234.892655769
468798.618741823,-46550.2759832254,422248.342758598
137804.051930934,-376511.313057767,-238707.261126833
99434.2880497246,-408264.252238807,-308829.964189082
506248.57428278,5712.10806400515,511960.682346785
218449.489480607,-282002.499961884,-63553.0104812775
202114.293320021,-293351.534048681,-91237.2407286604
665489.976303622,175172.160624118,840662.136927741
695303.519284438,202167.243210506,897470.762494944
672080.701506141,175685.860922293,847766.562428434
755219.878367078,256034.722887819,1011254.6012549
164852.016956587,-338497.034010408,-173645.017053821
94797.6389743329,-402590.90378711,-307793.264812778
598227.035159997,107837.471579615,706064.506739612
728932.26125271,236882.071127773,965814.332380483
820682.333304458,324779.142063988,1145461.47536845
454668.042592254,-46566.9034782113,408101.139114043
174679.417569216,-325574.297846561,-150894.880277345
112030.988346617,-382504.831941684,-270473.843595067
196134.836133411,-291739.86735545,-95605.0312220391
209772.49164627,-272997.162452879,-63224.6708066084
866544.458105323,388535.36900141,1255079.82710673
158715.72480622,-325766.678560918,-167050.953754698
640414.191134172,161603.818383206,802018.009517377
493059.965523014,11629.2480791146,504689.213602129
825476.278065145,343966.749171119,1169443.02723626
488949.405435693,1743.57534179375,490692.980777487
160575.990406095,-326497.736378894,-165921.745972798
772538.756632467,291131.961319126,1063670.71795159
715248.717160922,229042.752425561,944291.469586482
444561.414508319,-45378.9198794829,399182.494628836
98132.9688363765,-390886.574708558,-292753.605872181
123292.428240506,-358943.036342668,-235650.608102162
197097.955125336,-278911.305147409,-81813.3500220722
693714.601289554,222557.738261722,916272.339551275
656519.410576529,181672.320348616,838191.730925145
1118965.71399547,641140.919965657,1760106.63396113
69070.3142184979,-419510.045977129,-350439.731758631
471178.792130221,-10129.4045772918,461049.38755293
620187.598041528,139175.805860743,759363.403902271
546809.109920882,63567.1280055661,610376.237926448
652776.731199474,168594.640472649,821371.371672123
879861.510067168,392962.606220546,1272824.11628771
161868.780333373,-331562.510042476,-169693.729709103
137864.604043609,-349762.501571254,-211897.897527645
127680.949926494,-353864.299495524,-226183.34956903
120991.941281819,-354426.047087258,-233434.105805439
455109.639657654,-14172.9646902139,440936.67496744
105784.071825901,-363180.730036178,-257396.658210277
422199.027968351,-40517.9029652215,381681.125003129
1253762.06186148,791803.056516544,2045565.11837803
613716.127749111,138389.654646988,752105.782396099
639265.516783332,161701.1303952,800966.647178532
519277.863035788,39082.6962092171,558360.559245005
100213.993727178,-380514.7269139,-280300.733186723
647482.533450721,173325.877776348,820808.411227069
181846.656638723,-295139.301406091,-113292.644767368
658222.207324732,186352.313782115,844574.521106847
551201.757973503,76274.4323488748,627476.190322378
775931.067272475,299816.295533308,1075747.36280578
546094.703887932,65004.9107454799,611099.614633412
366788.91473824,-115269.253771816,251519.660966423
183682.254061003,-296293.889384147,-112611.635323144
917425.749693429,442608.402531154,1360034.15222458
198918.964773204,-283298.71724597,-84379.7524727666
711584.099080648,234302.712675091,945886.811755738
964328.195540267,483185.683269218,1447513.87880948
674583.938911342,185370.530485746,859954.469397088
656768.667231339,164564.859872858,821333.527104197
672712.778837574,177885.231509284,850598.010346858
641656.3789505,143992.492664354,785648.871614854
102986.926942545,-396944.682326477,-293957.755383933
119338.721835256,-373664.567183435,-254325.845348179
116882.670679172,-369603.760593466,-252721.089914295
801480.451111419,321403.193060327,1122883.64417175
131989.043683099,-353415.021421294,-221425.977738196
503323.201133577,24058.6222950861,527381.823428663
548645.856365154,69093.9382812971,617739.794646451
591905.112277286,111309.221819313,703214.334096599
587540.621362813,105182.888269807,692723.50963262
90639.9558683669,-393369.571274525,-302729.615406158
565041.561524742,87836.1808373286,652877.742362071
124672.903492009,-353898.418381888,-229225.514889879
700424.264298854,227974.379352665,928398.643651519
701307.16239946,225091.392651079,926398.555050539
715040.630490359,235111.031001826,950151.661492185
790197.396053636,306413.201266495,1096610.59732013
676547.491169386,187694.814174337,864242.305343723
112024.107141691,-379856.509194244,-267832.402052554
150912.513855107,-334357.447034822,-183444.933179715
280398.388436583,-199052.554241848,81345.8341947347
118078.768975093,-357885.651563138,-239806.882588044
696007.656549172,226224.945441898,922232.60199107
99240.9859196383,-374277.403331713,-275036.417412075
665951.683413588,198885.050775525,864836.734189113
579092.057811811,108736.376893431,687828.434705242
852764.310103688,380655.132969308,1233419.443073
105929.674378795,-372534.132757949,-266604.458379154
238217.36191581,-233814.540098489,4402.82181732138
731935.690492267,263972.025787205,995907.716279471
134264.64885157,-338094.771291402,-203830.122439832
663081.230381073,196550.956181986,859632.186563059
493038.285783609,23264.0532354398,516302.339019049
504547.479579171,34470.8420502985,539018.321629469
614214.845583974,143623.541249048,757838.386833022
754371.542262411,281449.196459161,1035820.73872157
733488.648428245,255902.632387046,989391.280815291
473801.760690102,-8012.7765630474,465788.984127055
554521.04722683,72974.2355810262,627495.282807856
612687.674595042,130022.451361508,742710.125956551
233208.662815438,-251525.382227616,-18316.7194121779
563701.406721177,83369.5025818303,647070.909303008
536519.800598399,54903.2236092911,591423.02420769
663055.431198543,180659.205611228,843714.636809771
63863.3034577254,-421489.482382049,-357626.178924323
733151.709555986,255098.808792032,988250.518348018
822260.785910255,339996.577996249,1162257.3639065
1046669.51104005,558778.314538064,1605447.82557812
623989.640686071,126758.57153777,750748.212223841
165769.773085827,-333417.739273358,-167647.966187531
236651.214163211,-256702.800355932,-20051.586192721
236871.078715301,-251945.013549774,-15073.9348344729
138171.379650821,-346214.210832624,-208042.831181804
732852.459562307,254481.864045289,987334.323607596
499311.892341805,16741.2027783587,516053.095120163
374692.492862131,-108025.166275985,266667.326586146
91830.4377588526,-388936.442584973,-297106.004826121
866570.903446865,392531.131655116,1259102.03510198
128868.944401515,-351720.113012977,-222851.168611462
887082.769624517,412596.530688976,1299679.30031349
551035.442092009,69647.4433077773,620682.885399786
128200.041828773,-354239.458112718,-226039.416283944
506596.910958118,30309.1730245008,536906.083982619
210337.560229781,-266368.55986387,-56030.999634088
568821.097685434,96759.0196374647,665580.117322899
493152.928780623,19535.7265908832,512688.655371506
564717.475001421,90881.6881560469,655599.163157468
573336.946325277,98066.0786868032,671403.02501208
996345.90374467,519524.442347455,1515870.34609212
699281.144242906,213760.269167257,913041.413410163
535100.827715647,46087.5581228273,581188.385838474
851063.301050785,361430.066354263,1212493.36740505
171543.270151722,-324069.904062972,-152526.63391125
526592.684873829,36656.3759808322,563249.060854661
540905.519518398,50502.0009442757,591407.520462674
356377.651071833,-134722.692774161,221654.958297671
555986.529924309,67346.1886494952,623332.718573805
64499.302446932,-425137.166678864,-360637.864231932
512661.761216328,30399.4930278595,543061.254244188
1292960.26050854,810303.378942236,2103263.63945078
538100.773357252,41839.9647674024,579940.738124655
163948.975728758,-332842.995068292,-168894.019339534
482260.715677795,-8702.8987152162,473557.816962579
538146.06028632,47493.6890642596,585639.74935058
573354.050630921,82051.8911962948,655405.941827216
226897.425375524,-265626.989273486,-38729.5638979627
649524.19545958,161663.437586792,811187.633046372
595440.874473279,104997.370521551,700438.24499483
515535.584645831,23475.3535187686,539010.9381646
724373.44136844,232068.778672286,956442.220040726
257305.61471221,-238763.671293997,18541.9434182136
784808.487776963,292961.988949562,1077770.47672652
715002.223724008,218347.973028078,933350.196752086
538415.828968516,38245.9552303665,576661.784198882
722922.644176688,222302.148341619,945224.792518307
513932.124789631,9730.47889596541,523662.603685596
727420.178618069,223266.029242786,950686.207860855
582597.832926206,74841.9391625485,657439.772088755
638527.169747499,129738.859288639,768266.029036139
515650.848697381,4884.03408448841,520534.882781869
649093.164959001,138468.97326387,787562.138222872
654482.736066802,141734.232992797,796216.969059599
823472.087111126,308556.257076635,1132028.34418776
525203.539617544,5304.56769562007,530508.107313164
661985.115525687,142259.204950446,804244.320476132
137473.701043398,-384411.082095862,-246937.381052464
594030.926367612,78920.5413258352,672951.467693448
728351.322489558,212145.118527569,940496.441017127
819995.154612702,300446.319192609,1120441.47380531
242081.032643802,-282310.143769037,-40229.1111252351
717438.090229026,198110.830542648,915548.920771674
106701.420791601,-415726.334455572,-309024.913663971
167621.871982613,-347484.653678276,-179862.781695664
546742.220528004,37778.6413878269,584520.861915831
146254.024120719,-363133.536774437,-216879.512653718
769163.230372362,266154.926658641,1035318.157031
744824.713951513,237518.348102892,982343.062054405
186966.298014197,-324156.873447887,-137190.57543369
