,person,year,labinc,wt,age,hours,male,married,pp
66241,3550,2012,56989.5,742442,52,2444,1,1,1
66244,2713,1993,28679.31,183435,28,2424,1,0,1
66245,7934,1996,36147.19,122131,39,2350,1,1,1
66248,8872,2000,46859.39,130783,38,2496,1,0,1
66251,5556,1998,22743.01,569871,33,2080,1,0,1
66252,4764,1990,51740.85,565502,30,2725,1,1,1
66253,6304,1993,24151.0,98638,32,1200,1,1,1
66254,12139,1992,13211.26,525563,28,1880,1,0,1
66255,5676,1988,12906.63,176383,29,1915,0,0,1
66264,7210,1989,33430.51,141275,32,2126,1,1,1
66272,5857,2006,56261.48,104313,46,2080,1,0,1
66273,769,1991,24823.77,741410,31,1590,1,0,1
66276,2075,1985,46614.76,691956,27,2480,1,1,1
66278,12134,1994,22068.75,712561,35,2080,1,1,1
66279,8433,1998,33445.6,199008,35,1830,1,0,1
66280,5307,1985,24320.74,160617,25,1960,1,1,1
66281,254,1990,16690.6,589976,29,592,0,0,1
66286,6062,1996,25024.98,194539,32,2440,1,1,1
66290,12427,1990,15889.45,55269,28,2310,1,1,1
66293,1957,1996,40318.02,674006,36,2080,1,1,1
66301,10192,1993,25660.44,134507,34,3876,1,0,1
66307,5418,2000,63323.5,509360,37,3536,1,1,1
66309,7482,1989,38357.11,255668,27,2080,1,0,1
66310,8278,2000,29128.81,363005,37,2496,1,1,1
66311,3260,1990,29128.81,154208,28,2080,0,0,1
66315,11908,1994,29425.0,650553,33,2080,1,1,1
66319,3627,1990,68431.45,657398,30,2758,1,1,1
66320,3381,1987,48944.59,605513,25,2340,1,1,1
66321,8356,2008,60786.61,119241,46,2548,1,0,1
66322,5158,1994,48551.24,525204,34,2080,1,1,1
66323,7259,2012,72186.7,185139,48,4864,0,1,1
66324,4902,1996,31281.22,626455,38,2080,1,1,1
66326,378,1989,31671.01,143440,28,2080,1,1,1
66328,7392,2000,31661.75,200882,41,2652,0,0,1
66329,5329,1987,40307.31,689975,25,2330,1,1,1
66331,4315,1985,24320.74,150690,26,3216,1,0,1
66333,5637,2004,51763.44,192322,42,1722,1,1,1
66344,11794,1996,46567.31,782217,33,2080,0,0,1
66351,1383,1988,40563.7,136401,26,2200,1,1,1
66354,378,1990,31671.01,143382,29,2080,1,1,1
66358,6648,2010,72000.0,345992,50,2600,1,1,1
66360,7474,1989,36949.51,267858,28,2080,1,1,1
66361,8107,1996,37537.46,87043,36,2080,1,1,1
66362,12485,1990,36719.31,81049,27,1080,1,1,1
66366,12205,1991,28827.6,330788,32,1728,1,1,1
66367,5307,2014,36850.39,763429,55,2080,1,1,1
66368,7482,1996,37537.46,278314,34,2820,1,0,1
66371,3353,2012,46541.42,606245,51,2080,1,0,1
66374,5772,2010,70000.0,136407,49,3000,1,1,1
66376,1957,2014,75219.02,995691,55,2080,1,1,1
66381,3702,1996,54220.79,146804,38,2288,1,0,1
66383,8559,1996,41708.3,205221,35,2080,1,1,1
66384,8793,1987,26295.72,79031,27,2295,1,0,1
66387,4755,1990,41726.49,504752,28,2496,1,1,1
66390,8991,2000,74721.73,91373,40,2080,1,0,1
66392,2392,1987,38387.91,570954,26,2080,1,0,1
66398,8620,2000,48402.73,209403,39,3120,1,0,1
66399,10028,1996,38232.61,99143,38,2000,1,1,1
66413,12205,1993,31698.19,347898,34,2080,1,1,1
66414,8630,1992,21759.73,100123,28,2120,1,0,1
66421,1011,2004,46176.13,687921,41,2080,1,1,1
66422,12205,1984,18884.13,311115,25,2080,1,0,1
66425,5813,2008,8814.058,130201,49,1440,0,1,1
66426,2578,2000,21403.34,650381,39,2080,1,1,1
66429,5307,1994,33838.75,787395,34,2080,1,1,1
66430,4090,2008,59773.5,556545,44,2080,1,0,1
66431,2578,1988,19359.95,551718,27,744,1,1,1
