"person","year","labinc","wt","age","hours","male","married","pp"
218,1984,76740.9,749984,26,2520,1,1,0
11959,1984,39866.49,741442,26,1820,0,0,0
9421,1984,47734.88,125919,26,2044,0,1,0
9426,1984,29375.31,86045,26,2080,1,0,0
9668,1984,16785.89,89422,25,1900,1,1,0
6542,1984,30424.43,111423,25,2600,1,0,1
6829,1984,49327.44,104916,26,2080,0,1,0
8826,1984,48259.44,95691,25,1990,0,1,0
9705,1984,52455.91,71455,25,2340,0,0,0
2842,1984,41964.73,982793,27,2392,1,0,0
52,1984,52455.91,764923,25,2496,1,1,1
10464,1984,76740.9,196515,27,2600,1,1,0
1184,1984,76740.9,710498,26,2080,0,1,0
793,1984,48259.44,667605,25,2548,1,0,0
9418,1984,76740.9,123818,27,2047,1,1,0
4721,1984,52455.91,651942,26,2160,1,0,0
9735,1984,50987.14,77592,26,2080,1,1,0
649,1984,43013.85,649024,27,2315,1,1,0
2220,1984,76740.9,612431,26,2340,1,1,1
3581,1984,52455.91,724621,26,2080,1,1,0
742,1984,76740.9,632818,25,1960,1,0,0
1355,1984,76740.9,583267,25,2080,1,0,1
6109,1984,35670.02,261152,26,2000,1,0,0
193,1984,76740.9,600844,26,2080,1,0,0
9696,1984,76740.9,96642,25,4160,1,0,0
7454,1984,49098.73,141092,26,2358,1,0,0
3602,1984,54554.14,679609,27,2080,1,1,0
101,1984,76740.9,624009,25,2080,1,1,0
4896,1984,29375.31,608832,25,1080,1,0,1
2300,1984,76740.9,563292,25,2080,1,1,0
5784,1984,76740.9,114773,26,2216,1,0,1
3967,1984,76740.9,128548,25,2080,1,1,0
9697,1984,76740.9,72202,25,2250,1,0,1
8454,1984,28158.33,261564,25,896,1,1,0
925,1984,76740.9,652494,26,2340,1,0,0
4825,1984,35670.02,569971,26,2512,1,1,1
9752,1984,76740.9,116167,26,4256,1,1,0
1098,1984,25598.48,906814,25,1968,1,0,0
10207,1984,30424.43,122475,25,2240,1,1,0
4402,1984,35670.02,860562,26,2080,1,1,0
7762,1984,33361.96,73464,25,2080,1,1,0
2508,1984,48888.91,730730,25,2080,1,1,0
5020,1984,76740.9,681901,26,2080,1,0,0
1468,1984,76740.9,906095,26,1810,1,0,0
1909,1984,31893.19,630293,25,2080,1,0,0
3526,1984,29375.31,685336,26,2080,1,1,0
4362,1984,41964.73,124784,25,1880,1,0,0
7306,1984,37837.5,306634,26,1960,1,1,0
4128,1984,41964.73,586223,25,2450,1,0,0
2145,1984,31473.55,701401,26,2080,1,0,0
947,1984,76740.9,616246,26,2488,1,1,0
9691,1984,29375.31,71455,25,2370,0,1,0
4510,1984,35670.02,156059,25,1301,1,0,0
4341,1984,7916.646,113171,26,680,0,0,1
11860,1984,76740.9,157517,25,2701,1,1,0
3482,1984,76740.9,721197,25,2720,1,0,1
8426,1984,20982.36,87670,25,720,1,1,0
480,1984,7973.298,728316,26,615,1,0,0
556,1984,76740.9,807674,26,2150,1,0,0
10275,1984,46161.2,109417,26,2600,1,1,0
4361,1984,14687.65,124784,25,1040,1,1,0
3720,1984,10491.18,602083,26,2080,0,1,0
12050,1984,42804.02,232558,25,4368,1,0,0
7999,1984,7343.827,200181,25,1480,1,0,0
7044,1984,38817.38,129134,25,2800,1,1,0
7307,1984,47997.16,306634,26,2080,1,0,1
7338,1984,17205.54,93749,26,1912,0,0,0
4767,1984,25178.84,651942,25,2340,1,0,0
9987,1984,41838.83,124905,25,1928,0,0,1
12221,1984,12589.42,94508,26,2335,1,1,0
9586,1984,44062.96,118691,26,2277,1,0,0
3607,1984,7343.827,695636,27,990,1,0,0
10463,1984,76740.9,196515,26,2080,1,1,1
4225,1984,76740.9,806455,26,4160,1,0,1
2498,1984,33571.78,752491,26,3040,1,0,1
12270,1984,41335.26,71455,25,2080,0,0,0
1311,1984,76740.9,632741,26,4932,1,0,0
8943,1984,20982.36,111335,25,2376,1,1,0
6386,1984,5245.591,259224,26,976,1,0,0
738,1984,76740.9,741826,26,3120,1,0,0
10323,1984,20562.72,94071,25,2168,1,1,0
481,1984,31473.55,732604,26,1440,1,0,1
1603,1984,10491.18,593041,25,1305,1,1,0
9458,1984,16366.24,57656,27,1840,0,1,1
4513,1984,20982.36,106390,25,2670,1,0,0
6903,1984,44062.96,454871,26,3955,1,0,0
2839,1984,30839.88,873676,25,2080,1,0,1
5949,1984,22031.48,254455,26,1598,1,0,0
3144,1984,31473.55,546223,26,1400,1,0,0
12250,1984,37768.25,155047,25,1976,0,0,0
8911,1984,15107.3,102701,25,2080,1,0,1
9432,1984,16785.89,70450,25,2080,0,1,0
9900,1984,12809.73,108332,25,1000,0,0,0
361,1984,28326.19,606594,26,1820,1,0,0
10396,1984,16785.89,54297,26,880,0,1,0
3211,1984,18884.13,789997,27,2200,1,1,0
12072,1984,27486.9,651351,27,2340,1,1,0
3424,1984,23080.6,625007,25,1226,0,1,0
6766,1984,30424.43,71828,25,1932,0,0,0
8082,1984,12589.42,148395,26,942,1,0,0
10556,1984,6714.356,107711,26,710,1,0,0
10510,1984,26227.96,104149,26,2386,1,1,0
327,1984,31473.55,655393,25,2080,0,0,0
7315,1984,8392.945,180992,26,890,1,1,0
5675,1984,29375.31,668312,25,2000,0,1,0
8456,1984,39992.39,107711,25,2080,1,1,0
4328,1984,20352.89,759744,25,2080,1,0,1
9583,1984,19775.88,154873,26,2580,1,0,0
3872,1984,23080.6,647291,26,3010,0,0,0
9299,1984,22031.48,146740,25,2080,1,0,0
3059,1984,41964.73,713271,26,2456,1,1,1
4004,1984,41964.73,663269,25,2080,1,0,0
1325,1984,15736.77,602350,25,1599,1,0,0
3882,1984,12589.42,658331,26,2025,1,0,0
88,1984,36257.52,268996,26,2880,1,0,0
9564,1984,76740.9,98074,26,2236,0,1,0
7746,1984,56442.56,71455,26,2036,0,1,0
752,1984,52455.91,152537,26,2388,0,1,0
5422,1984,5245.591,531024,26,2192,0,0,0
3954,1984,16785.89,180168,25,1548,1,0,1
12550,1984,26901.49,186158,26,2098,1,0,0
7487,1984,23080.6,395620,26,2080,1,0,0
8822,1984,18044.83,99772,25,1625,1,1,0
6031,1984,12589.42,140036,25,1105,0,1,0
10381,1984,76740.9,126890,25,2470,1,0,1
3394,1984,45112.08,309337,26,2080,1,1,0
105,1984,36299.49,127410,25,1934,0,0,0
5651,1984,35670.02,662720,25,2275,1,1,0
12433,1984,16785.89,102072,26,1642,1,0,0
4902,1984,12589.42,546223,25,1596,1,1,0
8285,1984,23080.6,117368,25,2080,1,0,1
9631,1984,32520.57,162092,25,2080,0,0,0
7298,1984,35670.02,205321,25,3565,1,0,0
7689,1984,31473.55,277774,25,2579,0,0,0
11890,1984,29375.31,134571,25,2456,1,1,0
5460,1984,18438.05,167120,25,2130,0,0,0
1148,1984,24003.82,149502,25,2852,1,0,1
8096,1984,29375.31,297154,26,2080,1,0,1
247,1984,10071.54,192483,25,2024,1,1,0
8173,1984,25913.22,105313,26,1740,1,1,1
4883,1984,6084.886,643476,26,950,1,0,0
8566,1984,15736.77,64772,26,2080,0,0,0
10436,1984,20982.36,87218,27,1038,0,1,0
7742,1984,25178.84,96642,25,1686,1,0,0
11292,1984,15736.77,70368,25,1840,1,0,0
6488,1984,8392.945,197228,25,1480,1,0,0
5049,1984,10701.01,551135,25,1812,0,1,0
10043,1984,29375.31,118555,25,2408,1,1,0
7387,1984,19933.25,221710,26,2845,1,0,0
6689,1984,13916.53,91979,26,1157,1,1,0
6316,1984,27277.07,202727,25,3368,1,0,0
4496,1984,7553.651,653612,25,1058,0,0,0
7745,1984,20982.36,71455,25,1872,0,1,0
5199,1984,6294.709,602301,26,1135,0,1,0
2043,1984,37768.25,178250,26,2286,1,0,0
12121,1984,5875.062,532242,25,1529,0,1,0
9447,1984,25178.84,78411,27,780,1,0,0
8088,1984,16785.89,92942,27,1040,0,0,1
1656,1984,20982.36,701340,25,1790,0,0,1
4887,1984,14687.65,530379,25,525,0,0,0
8675,1984,10298.75,126882,26,1476,0,0,0
4494,1984,12589.42,628416,25,2050,0,0,0
98,1984,21108.26,128501,26,2055,0,1,0
5913,1984,31473.55,218347,27,1955,0,0,0
1477,1984,13638.54,807194,25,1655,1,0,0
1994,1984,14687.65,518382,25,1680,0,1,0
3362,1984,10510.07,534262,26,675,0,0,0
12195,1984,25178.84,52204,25,1640,0,0,0
7407,1984,41964.73,364351,25,1386,0,0,0
6984,1984,25178.84,52204,25,1705,0,0,0
4383,1984,8392.945,704638,25,1422,0,0,0
2694,1984,9458.85,132834,25,2688,1,0,0
7019,1984,14687.65,102485,26,1640,0,1,0
9146,1984,27277.07,67777,26,1264,0,1,1
1552,1984,41964.73,566098,27,2805,0,0,0
7332,1984,15736.77,142018,25,2049,1,0,0
9901,1984,29375.31,111421,25,2050,1,0,0
1740,1984,12589.42,608547,26,1226,0,0,0
1103,1984,10963.29,740544,26,1179,0,0,1
1156,1984,29375.31,212365,26,2000,1,0,1
6915,1984,27277.07,399567,25,3332,0,0,1
2407,1984,6294.709,536677,25,1425,0,1,0
10267,1984,16785.89,86795,25,1940,0,0,0
7783,1984,27277.07,486818,25,856,1,0,0
6081,1984,20982.36,262749,25,3266,1,0,1
