,person,year,labinc,wt,age,hours,male,married,pp
49920,550,1993,22641.56,701113,34,1660,0,1,0
49921,10376,1991,51249.07,64729,28,1820,0,0,0
49925,3170,1987,34549.13,488217,26,700,1,1,0
49926,9763,2006,34549.13,94084,42,2080,0,1,0
49927,6202,1996,23634.7,224758,38,2080,0,0,0
49928,11808,1987,35508.82,519307,27,2080,0,0,0
49930,756,2006,28130.74,175543,42,1144,0,0,0
49931,147,2012,14817.27,533008,51,1040,0,1,0
49932,3502,1984,31473.55,114389,26,2080,0,1,0
49933,3814,1991,23062.08,515899,31,2080,0,0,0
49934,2789,1986,32008.02,150544,25,2080,0,1,0
49936,1155,1993,45283.13,129436,31,2080,0,0,0
49938,9778,1991,33632.2,107654,31,2292,0,1,0
49940,5805,1989,18122.85,105846,30,2080,0,0,0
49941,4267,1984,25178.84,541621,26,2155,0,0,0
49943,407,1988,30238.4,574058,25,2122,0,1,0
49944,6828,1994,42666.24,111613,37,2080,0,1,0
49945,2260,1988,20281.85,159807,27,2186,0,0,0
49946,2071,1988,20281.85,583127,26,2080,0,1,0
49947,4818,2014,11055.12,646185,55,1720,1,0,0
49948,811,1991,24023.0,662279,32,2080,0,0,0
49950,4021,1996,23634.7,170661,31,2400,0,1,0
49953,1127,2000,34194.69,204639,39,2080,1,1,0
49955,2402,1994,17655.0,553261,35,2060,0,1,0
49957,1127,1996,22244.42,196402,34,2080,1,0,0
49958,1658,1993,14707.96,638063,30,1120,0,1,0
49959,9652,1993,22641.56,94502,33,1959,0,1,0
49960,6473,1984,26227.96,317926,26,2080,1,1,0
49962,2478,1996,26415.25,506296,36,1560,0,1,0
49963,1644,1987,34549.13,133933,26,2490,1,1,0
49964,10271,1990,30043.07,88790,32,2000,0,1,0
49965,1127,1992,27976.79,175962,31,2600,1,0,0
49968,7207,1992,27976.79,161733,33,3424,0,1,0
49969,10363,2000,58257.62,164352,37,2340,1,1,0
49970,2727,1990,21697.78,501162,27,2080,0,1,0
49971,365,2014,11976.38,576336,53,1630,0,1,0
49972,9333,1992,46627.99,168089,33,2080,0,0,0
49974,2981,1996,18768.73,447033,33,1768,1,0,0
49975,2154,1988,33188.48,576712,28,2080,0,1,0
49976,4188,2006,20633.9,835746,43,2200,0,1,0
49977,1396,1989,37829.26,506368,25,2080,1,0,0
49978,1510,2000,29762.04,772495,36,2080,0,0,0
49980,8549,1991,8007.6669999999995,107345,30,2045,0,1,0
49981,7194,1993,35471.78,332208,30,1976,0,0,0
49982,564,1986,23856.91,888163,27,2100,1,1,0
49983,11865,1996,25720.12,654126,32,2080,0,0,0
49985,9758,1996,36093.35,173796,33,2080,0,0,0
49986,4783,2012,24695.45,618689,53,2080,0,1,0
49987,7846,1998,38796.89,211617,34,2080,0,1,0
49988,3814,1989,17595.0,525185,29,1145,0,0,0
49989,6227,1987,23032.75,155301,26,1573,0,1,0
49990,10188,1986,14910.57,117218,28,1420,0,0,0
49991,133,1996,58391.61,597004,33,1924,0,1,0
49994,1202,1991,23673.87,147245,32,1976,0,1,0
49997,4945,2006,37868.3,760865,46,2175,1,1,0
49998,966,1994,32367.5,486558,32,2080,0,1,0
49999,3502,1998,42810.36,122999,40,2028,0,1,0
50001,7405,1990,16690.6,173780,26,2264,0,0,0
50004,12479,1990,5841.709,108043,26,802,0,1,0
50005,6215,1988,46095.12,128033,30,2080,0,1,0
50007,4308,1991,33632.2,468801,27,1820,0,1,0
50008,110,1994,63116.62,745844,37,2184,1,1,0
50009,2524,1996,68123.55,553959,34,2132,1,1,0
50011,9197,1987,11516.38,94071,28,2030,1,0,0
50012,2883,2004,11544.03,634760,42,1300,0,1,0
50015,4819,1984,29794.96,503627,25,2080,0,0,0
50016,7819,2014,27637.79,169881,54,2080,0,0,0
50018,9532,1998,29531.06,188157,34,1976,0,1,0
50019,6502,1990,16690.6,101169,26,1938,0,1,0
50020,9930,1991,8007.6669999999995,70424,29,564,0,1,0
50021,5553,2000,22796.46,539490,39,2236,0,1,0
50023,11789,1996,23634.7,550473,35,1820,0,0,0
50024,7096,1987,13435.77,201719,28,1320,0,1,0
50025,1406,1998,13435.77,135264,37,2020,0,0,0
50027,5553,2006,22720.98,566375,45,2080,0,1,0
50028,9930,1992,23314.0,68630,30,2318,0,1,0
50029,6060,1987,40307.31,211814,25,2080,1,0,0
50030,6027,2000,43059.98,116066,37,3640,0,0,0
50032,745,2010,42000.0,276455,53,1976,0,1,0
50034,4174,1989,34310.26,139525,28,2080,0,0,0
50035,12120,1996,62562.44,548975,37,2080,0,1,0
50036,811,1988,20281.85,659302,29,2080,0,0,0
50037,5282,1990,26704.96,495472,31,1160,0,0,0
50038,1178,1988,20281.85,583362,25,1904,0,1,0
50039,3915,1989,11859.03,630121,25,1847,0,0,0
50040,3432,2014,39614.17,657845,54,2080,0,1,0
50041,1692,1987,28790.94,187672,25,2100,1,0,0
50042,9641,1992,21759.73,95492,32,2030,0,1,0
50043,179,1992,38856.66,586494,33,2080,0,1,0
50044,1607,1993,28679.31,573614,35,2080,0,1,0
50045,8169,1984,27277.07,111331,26,2080,0,1,0
50047,1120,1984,24129.72,145224,25,1040,1,0,0
50048,7820,2008,26340.86,184134,43,1560,0,0,0
50049,11777,1991,41639.87,181663,32,980,0,1,0
50050,12120,1984,8392.945,551843,25,1440,0,1,0
50051,3082,2004,31168.88,826275,40,2080,1,0,0
50052,971,1987,29558.7,462519,25,2224,0,0,0
50054,2590,1986,23856.91,449912,25,2080,0,1,0
50055,438,1988,27657.07,114723,25,1800,0,1,0
50057,4219,1990,23867.55,516686,29,2080,0,1,0
50058,2435,1989,12316.5,477884,26,1242,0,1,0
50060,2571,1998,23411.92,563882,35,1664,1,0,0
50061,72,1998,26087.57,643948,38,1960,0,0,0
50062,9014,1986,36779.4,186510,28,2238,1,1,0
50063,6885,1990,21697.78,116923,27,1887,0,0,0
50064,1703,1988,25813.27,140136,25,1470,0,0,0
50065,6227,2000,12664.7,161883,40,3880,0,0,0
50067,7809,1994,36781.25,185219,33,2176,0,0,0
50068,6666,2010,10200.0,208640,47,1230,0,0,0
50069,2571,1990,28374.01,530162,27,2255,1,0,0
50074,5618,2008,45589.96,181415,47,2964,1,1,0
50075,6732,1994,58849.99,155439,31,2220,1,0,0
50076,1510,2004,30014.48,802225,41,2080,0,0,0
50078,9337,1986,27833.06,175508,27,2140,0,0,0
50079,9360,1991,75272.07,92015,29,2520,0,0,0
50080,9632,1990,75272.07,102298,29,2080,0,1,0
50082,4179,2010,44000.0,322451,52,1880,0,0,0
50083,50,1984,30424.43,628885,25,1924,0,0,0
50085,3166,1994,44137.49,506580,32,2496,1,1,0
50086,1275,1984,23080.6,680775,25,2320,1,1,0
50089,4634,1986,43737.67,596845,25,2168,1,1,0
50090,1658,1994,22298.26,649903,32,1154,0,1,0
50093,431,1987,37428.22,766783,27,2080,0,1,0
50094,12054,1984,27067.25,641373,26,2050,0,1,0
50095,2274,1991,20819.94,519221,28,1616,0,1,0
50097,5959,1992,21759.73,102675,30,2080,1,0,0
50098,3737,1994,47079.99,499016,33,2080,0,0,0
50099,7231,1991,26745.61,153896,29,2525,0,0,0
50101,1757,1985,29184.89,173873,27,1976,0,0,0
50102,9644,1986,26839.02,123905,27,2592,0,0,0
50103,1399,1988,32450.96,113714,26,2080,0,1,0
50104,1776,1988,42407.51,464950,27,2080,0,0,0
50105,4351,1987,67178.85,649476,28,3130,0,0,0
50106,2461,1994,41194.99,490096,32,2080,0,1,0
50109,692,1989,15330.53,518140,26,1552,0,0,0
50111,3035,2010,38000.0,607985,46,2080,0,1,0
50114,8169,1987,5758.188,122442,29,600,0,1,0
50115,1491,2012,23745.62,181009,51,1760,0,0,0
50116,2991,1988,36876.09,434963,25,1729,0,0,0
50117,1511,1996,29751.92,721348,35,2080,0,0,0
50118,4818,2000,18997.05,528625,40,2080,1,0,0
50120,6763,1994,35310.0,81996,36,2080,0,0,0
50122,4147,1994,39723.75,597167,32,2465,0,1,0
50123,6855,1990,18025.84,197241,29,2018,0,1,0
50124,2270,1989,28152.01,172427,30,2144,0,0,0
50125,3676,1986,25844.98,548636,25,2080,1,0,0
50127,2727,1991,21620.7,495439,28,2080,0,1,0
50128,371,1986,35785.36,519814,26,2080,0,1,0
50129,7516,1991,30429.13,180308,30,2080,1,0,0
50130,6949,1992,31085.33,184546,31,1820,0,1,0
50133,3386,1990,33381.2,625101,26,1485,0,1,0
50135,1131,1996,23634.7,174102,37,1924,0,1,0
50136,632,2000,9118.584,563853,40,1080,0,1,0
50138,379,2006,41639.87,177247,42,2080,0,0,0
50139,2688,1996,23634.7,202455,37,2080,1,0,0
50140,3035,2008,35458.86,596349,44,2080,0,1,0
50141,482,1986,13916.53,687691,26,1030,1,1,0
50143,3947,1984,41964.73,196528,27,2015,0,0,0
50144,2613,1996,44488.85,716257,37,2080,1,1,0
50145,3408,1993,18113.25,700512,33,1073,0,1,0
50147,2310,1991,33632.2,142332,28,2275,0,1,0
50148,1511,1992,33416.73,665542,31,2080,0,0,0
50149,2310,2000,36727.63,163356,37,2080,0,0,0
50151,9325,1990,18359.66,196460,32,1182,0,1,0
50152,12036,1988,29500.88,123486,30,2080,0,0,0
50155,632,2010,10000.0,600901,49,560,0,1,0
50156,10341,1994,10000.0,74441,32,2083,1,0,0
50157,1510,2008,26340.86,800363,44,2080,0,0,0
50159,5826,1984,27696.72,122020,25,2080,0,0,0
50161,1225,1984,16494.24,652699,26,760,0,1,0
50162,677,1994,25011.25,125922,32,1690,0,0,0
50163,5758,1989,23401.36,137368,26,2175,0,0,0
50165,12054,1985,25334.11,627506,27,2080,0,1,0
50166,1562,1988,21019.37,690710,30,2080,0,0,0
50172,692,1991,16015.33,533867,28,2199,0,0,0
50173,1158,1993,52830.32,138883,32,2080,0,0,0
50174,8,1990,28374.01,158921,32,2080,0,0,0
50176,7819,2010,32000.0,159903,49,2080,0,0,0
50177,5441,2000,21529.99,632744,38,1160,1,1,0
50178,7791,1993,36226.5,200301,29,2080,0,1,0
50179,6745,1990,33381.2,137441,26,1455,0,1,0
50180,2400,1992,27199.66,478185,29,2080,0,0,0
50183,2,1989,33430.51,829304,30,2240,0,0,0
50187,7651,1990,36719.31,102186,27,2080,0,0,0
50189,5246,2014,41456.69,126392,51,2080,0,1,0
50190,1366,1990,40057.43,602359,32,2290,0,0,0
50193,1304,2000,21529.99,707592,36,2120,0,1,0
50194,966,1988,35032.29,467374,26,2158,0,1,0
50198,2322,1989,35190.01,488691,28,2080,0,0,0
50199,3419,1986,42743.63,655621,29,1932,0,0,0
50201,8886,1989,54544.51,103742,31,2080,1,0,0
50202,11913,1989,43987.51,580295,28,1960,1,1,0
50203,2083,1993,24905.72,775595,36,2080,0,1,0
50204,3035,2006,32458.55,601195,42,2080,0,1,0
50205,1842,1989,29911.51,516804,27,2080,0,0,0
50208,7096,1991,24983.92,201872,33,2080,0,1,0
50209,431,1996,44488.85,776915,36,2080,0,1,0
50212,4149,1989,58063.51,141999,30,2080,0,0,0
