,person,year,labinc,wt,age,hours,male,married,pp
44748,4781,1993,10163.04,606117,34,1040,1,1,0
44749,3592,1988,23969.46,467262,26,2398,1,1,1
44750,7891,1988,35032.29,283196,26,2080,0,1,0
44751,6655,1990,15021.54,93917,32,1280,0,1,0
44752,3580,2004,43867.32,820893,44,2080,1,1,1
44753,6260,1990,41726.49,277439,30,2080,1,1,0
44754,7301,1991,27226.07,180943,28,3135,1,1,0
44755,6484,1994,8827.499,119163,30,2340,1,0,0
44756,5069,2012,6648.775,617197,51,624,0,1,0
44757,5754,1987,36468.52,102938,30,2080,1,1,0
44758,5347,1996,38927.74,498413,33,2600,1,1,0
44759,5727,1996,48659.68,73797,32,3224,1,1,1
44760,4140,2008,48659.68,708124,48,2340,0,0,0
44761,957,1987,45681.62,544671,25,2385,1,1,1
44762,1594,1989,26392.51,723476,32,2699,1,1,0
44763,4879,2006,28671.72,793199,48,2100,1,0,1
44764,4318,2004,40404.11,133428,43,1976,1,0,1
44765,6044,1992,13055.84,160778,28,2040,0,0,0
44766,2202,1998,62877.72,497191,35,2080,1,0,0
44767,424,2006,58425.38,908770,48,2080,1,1,1
44768,3513,1998,32107.77,720751,37,2080,1,0,1
44769,3513,1990,38388.37,681240,29,2632,1,0,1
44770,720,1992,18651.2,593276,31,1960,0,0,1
44771,2739,1992,32639.59,498720,29,2600,0,1,0
44772,5069,2014,13818.9,640838,53,1920,0,1,0
44773,3580,2000,40906.98,772063,40,1440,1,1,0
44774,7086,1990,33047.38,119419,30,1610,0,1,1
44775,4882,1993,8301.905999999999,541730,34,1063,0,1,0
44776,5925,2014,37771.65,196568,51,2080,0,1,0
44777,7900,1989,11331.18,94134,25,1956,0,0,0
44778,1448,1986,45725.74,240161,27,2080,1,0,0
44779,5294,1994,35310.0,505302,36,1760,0,0,0
44780,5221,1990,36719.31,149852,33,1464,1,0,0
44781,2291,1993,64905.82,585043,28,2180,1,1,0
44782,1902,1993,36679.33,559835,29,2080,0,1,0
44783,9182,1994,36679.33,125344,35,1144,0,1,0
44784,3570,1987,15355.17,156957,25,1720,1,1,0
44785,7463,1988,11062.83,201919,25,960,1,0,0
44786,6845,2004,63492.18,226592,45,2080,0,1,0
44787,3570,2008,63825.94,543402,47,2080,1,1,1
44788,9571,1992,21759.73,95252,32,2080,1,1,1
44789,9169,1990,48569.64,93602,31,2340,1,1,0
44790,1959,1987,44146.1,530085,26,2080,1,0,0
44791,6154,1996,41013.16,202432,38,2080,0,0,0
44792,5238,1992,12434.13,462496,28,2235,1,0,0
44793,1790,1989,21114.0,594877,28,2372,1,0,0
44794,6322,1988,38719.9,158426,27,2080,0,0,0
44795,2344,2006,47605.87,527773,44,2496,1,0,0
44796,2272,1996,13207.63,171658,35,1376,0,0,1
44797,3199,1996,33366.64,660071,34,2080,0,0,0
44798,9816,2008,20262.2,149118,45,1680,1,0,0
44799,6373,1987,13435.77,139153,26,2080,0,0,0
44800,850,1988,15672.34,721119,26,1720,1,1,0
44801,7705,1985,8106.915,132721,27,720,1,0,0
44802,7152,2006,50851.72,193191,45,2080,0,0,0
44803,5238,2000,35461.16,524062,35,2895,1,0,0
44804,8493,1987,23032.75,122377,30,2080,0,1,0
44805,12162,1991,19538.71,280322,31,2080,0,0,0
44806,2578,1996,25024.98,584250,35,2080,1,1,0
44807,7025,1993,45283.13,86665,35,2195,1,1,1
44808,5265,2000,50658.8,559665,41,2080,0,1,0
44809,4385,1998,50658.8,727782,33,1480,1,1,0
44810,4341,1992,23314.0,120716,35,2040,0,0,1
44811,6124,1991,56053.67,123093,29,2615,1,1,0
44812,6112,1988,31344.68,188702,29,2032,1,0,0
44813,4119,2000,24062.93,838007,43,2080,1,1,0
44814,1520,1990,36385.5,371548,33,2564,1,1,0
44815,6155,1985,30400.93,215789,25,2080,1,1,0
44816,8458,1985,20267.29,105482,25,2395,1,0,0
44817,12171,1991,54452.14,88719,31,2080,1,1,0
44818,8295,2010,60000.0,159875,45,2236,1,1,0
44819,850,1993,42264.25,731261,31,2080,1,1,1
44820,11778,2008,40524.41,189775,47,1280,0,0,0
44821,5174,2000,56991.15,542653,38,2496,1,1,1
44822,285,1990,24301.51,107208,29,596,0,0,1
44823,3663,1996,22244.42,479555,34,900,0,1,0
44824,10172,1991,46444.47,114547,27,2776,1,1,0
44825,4672,2004,17316.05,626525,45,1025,0,1,0
44826,2472,1989,66861.02,588157,30,2080,1,1,0
44827,2773,1987,11516.38,148654,25,2080,1,1,1
44828,6845,1994,36781.25,217276,35,1300,0,1,0
44829,2760,1994,25011.25,590177,30,2458,1,1,0
44830,8872,2004,55411.35,137995,42,2430,1,1,1
44831,5467,2014,31322.83,151571,51,2080,0,1,0
44832,6146,1996,31322.83,189138,32,1880,0,0,0
44833,3550,2014,57118.11,738924,54,2394,1,1,1
44834,4843,2014,51590.55,637088,50,2080,1,0,0
44835,6066,2000,15197.64,390489,43,920,0,0,0
44836,12100,1987,49904.29,403064,25,2175,1,1,0
44837,6296,2000,16464.11,124653,37,1976,0,0,1
44838,3752,1985,44588.03,645080,28,2080,0,1,0
44839,8347,1985,33815.97,117577,27,2080,1,0,0
44840,7304,1986,21868.83,120668,26,2156,0,1,1
44841,7559,1991,28827.6,112885,27,2600,1,1,0
44842,2493,1994,29425.0,600923,31,1400,1,0,0
44843,6147,1988,18438.05,221914,28,2496,1,0,0
44844,5838,1988,7006.4580000000005,106119,28,1760,1,1,0
44845,7067,1994,22068.75,233100,36,2080,0,0,1
44846,7649,2006,51933.68,152041,48,2236,0,1,0
44847,7868,1989,13245.52,92901,28,1510,1,0,0
44848,2073,2000,27862.34,749255,40,2080,0,1,0
44849,293,1985,43574.66,576699,25,2080,0,1,0
44850,6911,2000,12664.7,430376,35,510,1,0,0
44851,8745,1989,17595.0,94530,26,2428,1,1,0
44852,3723,1986,11332.03,607903,25,1293,1,1,0
44853,9251,1990,70100.51,67701,27,4254,1,1,0
44854,4894,1994,36781.25,435678,32,2080,1,1,0
44855,5881,2008,30393.3,102163,49,2080,1,1,0
44856,711,1991,24023.0,592377,30,2120,1,0,0
44857,2913,1996,36147.19,123061,36,2080,1,0,0
44858,9195,1994,58849.99,138697,35,2700,0,0,0
44859,3540,2004,38095.3,200952,44,2496,1,0,0
44860,3540,2000,26595.87,192494,39,3200,1,0,0
44861,2493,1993,24151.0,600730,30,1960,1,0,0
44862,3539,2000,20263.52,179694,37,3120,1,0,0
44863,10190,2014,36850.39,128127,53,2080,1,1,1
44864,4339,1990,40057.43,637026,27,2444,0,0,1
44865,5719,1993,22641.56,315787,31,1920,1,1,0
44866,4339,1994,45608.74,654385,31,2708,0,1,1
44867,3538,1984,47210.32,242703,27,2080,1,1,0
44868,7129,1993,48302.0,158281,30,2926,1,1,0
44869,9285,1993,15094.38,76476,31,1408,1,0,0
44870,8381,2010,63800.0,177542,48,2340,1,0,0
44871,6852,1990,49737.98,258965,32,2080,0,1,1
44872,8532,1991,20819.94,100957,28,2080,0,1,1
44873,7079,1996,16683.32,144177,31,2640,1,0,0
44874,8495,1991,16015.33,291505,34,2080,1,0,0
44875,2745,1985,30400.93,617217,25,2080,1,1,1
44876,5984,1990,11683.42,238421,29,540,1,0,0
44877,4861,2012,61738.62,546804,50,2080,1,1,0
44878,4904,1993,33207.63,407585,30,2080,1,1,0
44879,5161,2000,40527.04,542653,38,2080,1,1,1
44880,9950,1991,8007.6669999999995,135234,29,555,1,1,0
44881,11165,1993,57358.63,322119,35,2080,1,1,1
44882,10005,1987,47984.89,98529,30,2080,1,1,0
44883,7129,1996,50049.95,159890,33,2800,1,1,0
44884,6910,1994,25011.25,268055,31,2080,1,0,0
44885,6224,1993,24151.0,184219,31,2260,1,1,0
44886,8740,1994,21333.12,92797,32,2080,1,0,1
44887,6748,1996,9731.936,249732,33,1040,1,0,0
44888,3610,1996,9036.796999999999,655731,38,1092,0,0,0
44889,7894,1986,37127.31,66886,27,2080,0,1,0
44890,5265,1998,49499.48,680351,39,2080,0,1,0
44891,2411,1993,49811.44,507035,31,2080,0,1,0
44892,6677,2000,30395.28,90343,37,2000,1,1,0
44893,9670,1992,43519.46,68761,31,2342,1,0,1
44894,8681,1991,46444.47,91317,30,2644,1,1,0
