,person,year,PPamount,labinc,wt,famsize,educ,hours,married
562,2870,1989,70000.0,54544.51,594983,3,15.0,2760,0
563,2151,1998,70000.0,73580.31,593299,2,13.0,2600,1
564,4944,1992,70000.0,54399.32,793628,4,16.0,3380,1
565,2451,1994,70000.0,39576.62,605836,2,12.0,3141,1
566,4470,1991,70000.0,22421.47,445172,2,13.0,1920,1
567,4407,2004,8658.023766,306993.9,791456,1,16.0,2496,0
568,565,2012,11397.89946,85484.24,1054737,1,13.0,2496,0
569,2323,1994,11397.89946,36781.25,475106,1,16.0,2570,0
570,4508,1989,11397.89946,61582.51,166284,1,16.0,2456,0
571,3134,1991,11397.89946,22421.47,758488,3,12.0,1840,0
572,6227,1993,11397.89946,30188.75,158518,7,13.0,2363,0
573,4989,1991,11397.89946,40038.34,500484,2,16.0,1730,1
574,1102,2012,37992.99821000001,326578.3,1365061,5,15.0,2600,1
575,12189,2010,37992.99821000001,32400.0,244877,1,12.0,2080,0
576,3147,1984,37992.99821000001,41964.73,546223,1,16.0,2530,0
577,4500,1991,37992.99821000001,16015.33,397203,4,14.0,1820,0
578,3676,2002,1818.643824,87294.91,726318,3,16.0,2600,1
579,1950,1989,1818.643824,42228.01,557976,2,14.0,2978,0
580,4495,1992,1818.643824,46627.99,586686,1,12.0,2080,0
581,6993,2000,1818.643824,15197.64,252326,3,12.0,3432,1
582,2115,2010,1818.643824,15197.64,715319,1,12.0,1456,0
583,4668,2006,1818.643824,302747.4,645236,4,16.0,3172,1
584,1515,2010,1818.643824,312324.0,728088,4,12.0,2860,1
585,4398,1993,1818.643824,69434.13,1289369,4,11.0,2140,0
586,8036,1988,1818.643824,9219.023,134139,3,12.0,1080,0
587,2151,1994,1818.643824,27953.75,557699,2,13.0,2605,1
588,5565,2006,1818.643824,38950.26,712227,4,16.0,2860,1
589,10038,2012,1818.643824,56989.5,181807,2,15.0,1040,1
590,3095,2000,1818.643824,37994.1,730212,3,12.0,3120,0
591,822,1994,1818.643824,88274.98,901776,4,12.0,2550,1
592,281,1994,1818.643824,80918.74,632728,2,18.0,2392,1
593,4856,2002,9699.433728,78807.9,500602,3,14.0,2080,1
594,3905,2000,9699.433728,78807.9,619342,4,12.0,975,1
595,3169,2002,424350.2256,286133.3,734098,4,16.0,2288,1
596,327,1985,424350.2256,36481.12,697689,2,16.0,2080,1
597,2868,1991,424350.2256,72069.01,699965,4,16.0,2747,1
598,1195,1989,424350.2256,52785.01,144286,1,16.0,3620,0
599,2038,2002,12124.29216,286133.3,579033,6,18.0,2184,1
600,4939,1998,12124.29216,40228.36,663634,2,16.0,2600,1
601,11834,1994,12124.29216,26482.5,788847,1,9.0,2288,0
602,5091,1992,12124.29216,29499.98,636791,2,17.0,2120,1
603,10481,2006,12124.29216,302747.4,118418,2,12.0,2600,0
604,218,2006,12124.29216,302747.4,1009219,4,16.0,2340,1
605,4925,1994,12124.29216,53553.49,503330,4,12.0,2656,1
606,4924,1989,12124.29216,28503.91,545654,1,13.0,2080,0
607,1218,1990,12124.29216,63424.27,208805,2,13.0,1989,1
608,3687,1990,12124.29216,35050.25,473920,2,16.0,2050,1
609,7564,1985,12124.29216,40534.57,179059,1,16.0,2570,0
610,5660,1991,12124.29216,52850.61,587082,1,12.0,2416,0
611,8943,2000,12124.29216,88652.9,135779,5,13.0,2600,1
612,3137,1986,12124.29216,52684.01,571122,3,18.0,2080,0
613,4911,2002,12124.29216,72745.75,591462,3,12.0,3640,0
614,4941,2002,12124.29216,5455.932,540733,3,7.0,1040,1
615,7748,2004,12124.29216,103896.3,93227,5,14.0,4420,1
616,1868,1985,12124.29216,35467.75,642761,3,13.0,2920,0
617,7708,2002,12124.29216,118818.1,147720,2,16.0,2080,0
618,2015,1994,12124.29216,20597.5,591900,3,13.0,2080,1
619,2220,2010,12124.29216,89000.0,873647,4,16.0,2600,1
620,7475,1992,12124.29216,38856.66,186964,3,16.0,2232,1
621,4829,2004,2308.806338,124675.5,531003,3,16.0,2600,1
622,5267,1988,2308.806338,33188.48,483017,1,13.0,2930,0
623,69,2012,14247.37433,137724.6,819497,2,18.0,1880,1
