,person,year,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black,pp
4875,9547,1993,49811.44,163210.0,3.0,9.0,31.0,2850.0,1.0,0.0,0.0,0.0,0.0
4876,2860,2002,76383.04,669256.0,4.0,16.0,38.0,3224.0,1.0,1.0,1.0,0.0,1.0
4877,12160,1990,25035.89,69365.0,1.0,8.0,27.0,2340.0,1.0,0.0,1.0,0.0,0.0
4878,806,1988,35954.19,658531.0,2.0,12.0,26.0,2496.0,1.0,1.0,1.0,0.0,1.0
4879,8316,2010,42000.0,150911.0,1.0,15.0,47.0,1960.0,1.0,0.0,0.0,0.0,0.0
4880,5727,2008,49642.39,81302.0,4.0,14.0,44.0,2860.0,1.0,1.0,0.0,0.0,1.0
4881,3257,2002,69714.68,701962.0,1.0,18.0,39.0,2860.0,1.0,0.0,1.0,0.0,1.0
4882,9669,1991,64061.34,120402.0,3.0,16.0,27.0,2415.0,1.0,1.0,0.0,0.0,0.0
4883,366,1990,60086.15,511740.0,3.0,16.0,27.0,2530.0,1.0,0.0,1.0,0.0,1.0
4884,6706,2002,101844.1,218831.0,3.0,14.0,45.0,2080.0,1.0,1.0,0.0,0.0,0.0
4885,7370,2006,114686.9,237851.0,5.0,20.0,42.0,2340.0,1.0,1.0,0.0,1.0,1.0
4886,4812,1990,63424.27,429684.0,1.0,16.0,28.0,2269.0,0.0,0.0,1.0,0.0,0.0
4887,11844,1987,7677.5830000000005,213763.0,1.0,15.0,25.0,2041.0,1.0,0.0,0.0,0.0,0.0
4888,12100,1989,49266.01,395179.0,3.0,12.0,27.0,2080.0,1.0,1.0,1.0,0.0,0.0
4889,11873,2010,85000.0,756217.0,2.0,14.0,50.0,2303.0,0.0,1.0,1.0,0.0,1.0
4890,2759,1998,45352.23,546017.0,4.0,10.0,36.0,4420.0,1.0,1.0,1.0,0.0,1.0
4891,8155,2002,82445.19,122485.0,3.0,16.0,42.0,2340.0,1.0,1.0,0.0,0.0,1.0
4892,7933,1996,44488.85,143203.0,2.0,14.0,39.0,1120.0,0.0,0.0,0.0,1.0,0.0
4893,6414,1994,19861.87,109737.0,4.0,12.0,35.0,2080.0,0.0,0.0,0.0,1.0,1.0
4894,9628,1990,28374.01,136661.0,2.0,11.0,29.0,1920.0,1.0,1.0,0.0,0.0,0.0
4895,7925,2010,113634.0,201813.0,1.0,13.0,46.0,2704.0,1.0,0.0,0.0,0.0,1.0
4896,1516,2000,30229.37,207871.0,1.0,12.0,43.0,2080.0,0.0,0.0,0.0,1.0,0.0
4897,309,1991,80076.67,864857.0,4.0,12.0,32.0,2675.0,1.0,1.0,1.0,0.0,0.0
