person,year,PPamount,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black
12163,2008,12157.32141,121573.2,324096,3,16,46,2600,1,1,0,1
8136,1989,,73899.02,124065,2,16,26,2290,1,1,0,0
1229,2014,,70937,784003,2,12,52,2080,1,1,1,0
868,1989,,21817.8,703196,1,13,28,3252,1,0,1,0
148,2010,,43000,643992,2,12,46,2496,1,0,1,0
5646,2008,,18235.98,180131,2,12,44,1600,0,0,0,1
3134,1990,,24201.37,764097,3,12,31,1840,0,0,1,0
5015,1986,,19880.76,506707,3,12,25,2220,0,1,1,0
7603,1990,,54244.44,213534,2,18,29,1075,0,1,0,0
255,1990,,13352.48,627293,5,12,28,782,0,1,1,0
1924,1992,,59062.12,545433,1,12,29,2321,1,0,1,0
3538,1987,,47217.14,260213,2,12,30,1898,1,0,0,1
799,2004,,64646.58,713057,5,12,40,2040,1,1,1,0
1501,2002,,58196.6,828604,6,17,39,2808,1,1,1,0
218,2004,,306993.9,975653,4,16,47,2340,1,1,1,0
5191,1994,,29719.25,598112,1,14,34,2080,0,0,1,0
2073,1988,,9257.743,649712,3,12,29,2290,0,1,1,0
6750,1987,,38771.8,121278,1,16,26,2080,0,0,0,1
6094,2010,3000,40000,343310,4,14,52,2600,1,0,0,1
1635,1991,,28667.45,465825,1,12,28,2080,1,0,1,0
4633,1985,,28374.2,701510,2,13,25,2092,1,1,1,0
457,1988,,51626.53,548508,3,16,28,2600,1,1,1,0
1174,1993,,6188.694,822146,4,16,33,2080,1,1,1,0
6337,1994,,,185567,3,15,36,1840,0,0,0,1
4939,1994,,33838.75,620098,2,16,36,2150,1,1,1,0
5746,1990,,35050.25,115839,4,12,26,2288,0,1,0,0
1714,1988,,27657.07,211468,3,14,31,2080,0,0,0,1
2872,2010,250000,312324,669576,2,14,49,3432,0,1,1,0
4694,1985,,40534.57,590422,1,15,25,2380,0,0,1,0
3380,2008,,121573.2,658482,3,14,47,2392,1,1,1,0
6738,1994,,34280.12,93194,3,12,32,2605,0,1,0,0
